1,Afganistan,30,C
3,Albania,10,A2
4,Algieria,20,B
5,Angola,20,B
6,Anguilla,30,C
7,Antigua i Barbuda,30,C
9,Arabia Saudyjska,30,C
10,Argentyna,30,C
11,Armenia,30,C
12,Aruba,30,C
13,Australia,40,D
14,Austria,10,A1
15,Azerbejdżan,30,C
16,Bahamy,30,C
17,Bahrajn,30,C
18,Bangladesz,30,C
19,Barbados,30,C
20,Belgia,11,A2
21,Belize,30,C
22,Benin,20,B
23,Bermudy,20,B
24,Bhutan,30,C
25,Białoruś,11,A1
27,Boliwia,30,C
28,Bośnia i Hercegowina,10,A1
29,Botswana,20,B
30,Brazylia,30,C
31,Brunei,30,C
32,Brytyjskie Wyspy Dziewicze,30,C
33,Bułgaria,10,A1
34,Burkina Faso,20,B
35,Burundi,20,B
36,Chile,30,C
38,Chorwacja,10,A1
39,Curaçao,30,C
40,Cypr,10,A2
41,Czad,20,B
42,Czarnogóra,20,A2
43,Czechy,12,A4
44,Dania z Grenlandią i Wyspami Owczymi,10,A1
45,Dominika,30,C
46,Dominikana,30,C
47,Dżibuti,20,B
48,Egipt,20,B
49,Ekwador,30,C
50,Erytrea,20,B
51,Estonia,10,A1
52,Etiopia,20,
53,Falklandy,30,
54,Fidżi,40,D
55,Filipiny,30,C
56,Finlandia,11,A2
57,Francja,10,A2
58,Gabon,20,B
59,Gambia,20,B
60,Ghana,20,B
61,Gibraltar,10,A2
62,Grecja,10,A2
63,Grenada,30,C
64,Gruzja,30,C
65,Gujana,30,C
66,Gujana Francuska,30,C
67,Gwadelupa,30,C
68,Gwatemala,30,C
69,Gwinea,20,B
70,Gwinea Bissau,20,B
71,Gwinea Równikowa,20,B
72,Haiti,30,C
73,Hiszpania,10,A2
74,Holandia,10,A1
75,Honduras,30,C
76,Indie,30,C
77,Indonezja,30,C
78,Irak,30,C
79,Iran,30,C
80,Irlandia,10,A2
81,Islandia,10,A2
82,Izrael,10,A2
83,Jamajka,30,C
84,Japonia,30,C
85,Jemen,30,C
86,Jordania,30,C
87,Kajmany,30,C
88,Kambodża,30,C
89,Kamerun,20,B
90,Kanada,20,B
91,Katar,30,C
92,Kazachstan,30,C
93,Kenia,20,B
94,Kirgistan,30,C
95,Kiribati,40,D
96,Kolumbia,30,C
97,Komory,20,B
98,Kongo,20,B
99,Kongo Republika Demokratyczna,20,B
100,Korea Południowa,30,C
101,Korea Północna,30,C
102,Kosowo,10,A2
103,Kostaryka,30,C
104,Kuba,30,C
105,Kuwejt,30,C
106,Laos,30,C
107,Lesotho,20,B
108,Liban,30,C
109,Liberia,,B
110,Libia,20,B
111,Litwa,10,A1
112,Luksemburg,10,A1
113,Łotwa,10,A1
114,Macedonia,10,A2
115,Madagaskar,20,B
116,Majotta,20,B
117,Malawi,20,B
118,Malezja,30,C
119,Mali,20,B
120,Malta,10,A2
121,Maroko,20,B
122,Martynika,30,C
123,Mauretania,20,B
124,Mauritius,20,B
125,Meksyk,20,B
126,Mołdawia,10,A2
127,Mongolia,30,C
128,Mozambik,20,B
129,Myanmar,30,C
130,Namibia,20,B
131,Nauru,40,D
132,Nepal,30,C
133,Niemcy,13,A5
134,Niger,20,B
135,Nigeria,20,B
136,Nikaragua,30,C
137,Norwegia,11,A2
138,Nowa Kaledonia,40,D
139,Nowa  Zelandia,40,D
140,Oman,30,C
141,Pakistan,30,C
142,Panama,30,C
143,Papua - Nowa Gwinea,40,D
144,Paragwaj,30,C
145,Peru,30,C
146,Polinezja Francuska,40,D
147,Portugalia,11,A3
149,Republika Południowej Afryki,20,B
150,Republika Środkowoafrykańska,20,B
151,Republika Zielonego Przylądka,20,B
152,Reunion,20,B
153,Rosja,11,A3
154,Rumunia,10,A2
155,Rwanda,20,B
156,Salwador,30,C
157,Senegal,20,B
158,Serbia,10,A2
159,Seszele,20,B
160,Sierra Leone,20,B
161,Singapur,30,C
162,Słowacja,12,A4
163,Słowenia,10,A1
164,Somalia,20,B
165,Sri Lanka,30,C
166,Stany Zjednoczone Ameryki,20,B
167,Suazi,20,B
168,Sudan,20,B
169,Sudan Południowy,20,B
170,Surinam,30,C
171,Syria,30,C
172,Szwajcaria z Liechtensteinem,11,A1
173,Szwecja,10,A2
179,Tadżykistan,30,C
180,Tajlandia,30,C
181,Tajwan,30,C
182,Tanzania,20,B
183,Togo,20,B
184,Tristan da Cunha,20,B
185,Trynidad i Tobago,30,C
186,Tunezja,20,B
187,Turcja,10,A2
188,Turkmenistan,30,C
189,Uganda,20,B
190,Ukraina,10,A1
191,Urugwaj,30,C
192,Uzbekistan,30,C
193,Vanuatu,40,D
194,Watykan,10,A1
195,Wenezuela,30,C
196,Węgry,11,A1
197,Wielka  Brytania,11,A3
198,Wietnam,30,C
199,Włochy z San Marino,11,A2
200,Wniebowstąpienia Wyspa,20,B
201,Wybrzeże  Kości Słoniowej,20,B
202,Zambia,20,B
203,Zimbabwe,20,B
204,Zjednoczone Emiraty Arabskie,30,C